Hela,U87,K562,HEK293T,iPSC,MCF7,MDA-MB-231
,,,,LH07721,,
,,,,LH07726,,
,,,,LH07737,,
,,,,LH07851,,
,,LH07863,,,,
,,,,LH07866,,
,,,,LH07937,,
,,,,LH08001,,
,,LH08035,,,,
,,,,LH08056,,
,,,,LH08073,,
,LH08135,,,,,
,,,,LH08144,,
,,,,LH08172,,
,,,,LH08196,,
,,,,LH08279,,
,,,,LH08309,,
,,,,LH08325,,
,,,,LH08329,,
,,,,LH08333,,
,,,,LH08339,,
,,,,,LH08356,
,,,,LH08375,,
,,,,LH08390,,
,,,,LH08410,,
,,,,LH08446,,
LH08457,LH08457,LH08457,,LH08457,LH08457,
,,,,,,LH08457
,,,,LH08471,,
,,,,LH08521,,
,,,,LH08529,,
,,LH08532,,,,
,,,,LH08562,,
,LH08564,LH08564,LH08564,,,
,,LH08577,,,,
,,,,LH08586,,
,,,,LH08594,,
,,,,LH08602,,
,,,,LH08637,,
,,,,LH08638,,
,,,,LH08646,,
,,,,LH08656,,
,,,,,,LH08677
,,LH08692,,,,
,,,,LH08696,,
,,,LH08727,,,
LH08736,,LH08736,,LH08736,LH08736,
,,LH08755,,,,
,,,,LH08782,,
,,,,LH08786,,
,,,,LH08796,,
,,,,,,LH08797
,,,,LH08811,,
,,,,LH08813,,
,LH08872,,,,,
,,,,LH08888,,
,,,,,LH08894,
,,,,LH08895,,
,,LH08901,,,,
LH08918,LH08918,LH08918,,LH08918,LH08918,
,,,,,,LH08918
,,LH08919,,LH08919,,
,,LH08996,,,,
,,LH09020,,,,
,,LH09054,,LH09054,,
,,LH09055,,LH09055,,
,,,,LH09070,,
,,,,,LH09175,
,,,,LH09176,,
,,,,LH09184,,
LH09194,,,,,LH09194,
,,,,LH09287,,
,,,,LH09298,,
,,LH09300,,,,
,,,,LH09339,,
,,LH09345,,,,
,,,,LH09349,,
,,,,LH09363,,
,,LH09382,,,,
,,,,LH09439,,
,,,,LH09449,,
,,,,LH09553,,
,,LH09582,,,,
,,,,,LH09607,
,,,,LH09617,,
,,,,LH09641,,
,,,,LH09645,,
,,,,,,LH09645
,,,,LH09651,,
,LH09670,,,LH09670,,
,,,,,,LH09670
,,LH09740,,,,
,,,,,LH09760,
,LH09763,,,,,
,LH09807,,,LH09807,,
,,LH09864,,LH09864,,
,,,,,LH09876,
,,,,LH09883,,
,,LH09901,,,,
,,LH09902,,,LH09902,
,,,,LH09947,,
,,,,LH09948,,
LH10005,,LH10005,,,LH10005,
,,,,LH10060,LH10060,
,,,,,LH10100,
,,,,LH10122,,
,,,,LH10128,,
,,,,LH10144,,
,,,,,,LH10158
,,,,LH10172,,
,,,,LH10209,,
,,LH10217,,LH10217,,
LH10221,,LH10221,,LH10221,,
,,,,LH10291,,
,,,,LH10294,,
,,,,LH10298,,
,,,,LH10351,,
,,,,LH10459,,
,,,,LH10505,,
,,,,LH10514,,
,,,,LH10524,,
,,,,LH10533,,
,,,,,,LH10546
,,,,,LH10547,
,,,,,,LH10547
,,,,LH10552,,
,,LH10586,,,,
,LH10640,,,,,
,,,,,,LH10640
,,,,LH10734,,
,,,,LH10762,,
,,LH10772,,,,
,,LH10793,,,,
,LH10879,LH10879,LH10879,LH10879,,
,,,,LH10905,,
,,,,LH10939,,
LH10952,,LH10952,,,LH10952,
,,,,,,LH10952
,,,,LH10987,,
,,,,LH11036,,
,,,,LH11049,,
,,,,LH11081,,
,LH11105,,,,,
,,,,LH11144,,
,,,,LH11302,,
,,,,,LH11366,
,,,,LH11372,,
,,,,LH11418,,
,,,,LH11452,,
,,,,LH11459,LH11459,
,LH11498,,,,,
,,LH11526,,LH11526,,
,,,,LH11587,,
LH11708,,LH11708,LH11708,,LH11708,
,,,,LH11715,,
,,,,LH11719,,
,,,,LH11792,LH11792,
,,,,LH11804,,
,,,,,LH11805,
,,,,LH11821,,
,,,,LH11876,,
,,,,LH11920,,
,,,,LH11921,,
,,,LH11924,,,
,,,,LH11927,,
,,,,LH11930,,
,,,,LH11972,,
,,,,LH11976,,
,,,,LH11995,,
,,,,,,LH11995
,,,,LH12045,,
,,,,LH12260,,
,,LH12325,,LH12325,,
,,LH12328,,LH12328,,
,,,,LH12331,,
,,,,LH12333,,
,,,,LH12379,LH12379,
,,LH12437,,,,
,,,,LH12469,,
LH12544,,LH12544,,,,
,,,,LH12547,,
,,,,LH12633,,
,,,,LH12647,,
,,,,LH12670,,
,LH12673,LH12673,,LH12673,LH12673,
LH12679,LH12679,,,LH12679,,
,,,,LH12725,,
,,,,LH12766,,
,,,,LH12784,,
,,,,LH12848,,
,,,,LH12870,,
,LH12879,,,,,
,,,,LH12890,,
,,,,LH12933,,
,LH12937,,,,,
,,,,LH12959,,
,,,,LH12989,,
,,,,LH12997,LH12997,
,,,,LH13004,,
LH13013,,,,LH13013,LH13013,
,,,,LH13078,,
,,,,LH13118,,
,,,,LH13179,,
,LH13254,LH13254,,,LH13254,
,,,,,,LH13254
,,,,LH13281,,
,LH13282,LH13282,,LH13282,LH13282,
,,,,LH13285,,
,,,LH13307,,,
,,,,LH13381,,
,LH13436,,,,,
LH13468,,,,,,
LH13501,LH13501,LH13501,LH13501,LH13501,LH13501,
,,,,,,LH13501
LH13512,,LH13512,,,,
LH13515,,LH13515,,,LH13515,
,,,,,,LH13515
,,,,LH13519,,
,,,,LH13527,,
,,,,LH13540,,
,,,,LH13552,,
,,LH13597,,,,
,,LH13598,,,,
,,,,LH13668,,
,,,,LH13693,,
,,,,LH13774,,
,,,,LH13802,,
,,LH13826,,,,
,LH13836,,,,,
,,LH13866,,,LH13866,
,,,,LH13892,,
,,,,LH13894,,
LH13928,,,,,,
LH13958,LH13958,,,LH13958,LH13958,
LH13960,,,,,,
,,,,LH13961,,
,,,,,,LH13981
,,,,LH14038,,
,,LH14048,,,,
,,LH14054,,,,
,,,,LH14060,,
,,,,LH14151,,
,,,,,LH14156,
,,,,,,LH14165
,,,,LH14181,,
,,,,LH14341,,
,,,,LH14349,,
,,,,LH14352,,
,,,,,,LH14362
,,LH14418,,,,
,,,,LH14449,,
,LH14450,LH14450,,LH14450,LH14450,
,,,,LH14503,,
,,,,LH14505,LH14505,
,LH14528,,,,,
,,LH14558,,LH14558,,
,,,,LH14643,,
,,,,LH14723,,
,,LH14732,,,,
,,,,LH14736,,
,,,,LH14745,,
,,,,LH14750,,
,LH14808,,,,,
,LH14876,,,,,
,,,,LH14878,,
,,,,LH14880,,
