target,unified_ID,Annotated_ID,cancer_related,Paper_cancer,validation,Paper_validation,group,LN18.lfc,LN229.lfc,A549.lfc,NCIH460.lfc,KP4.lfc,MIAPACA2.lfc
human_lncrna_fused_6647,human_lncrna_fused_6646,lncRNA-ZNF281,YES,https://pubmed.ncbi.nlm.nih.gov/32194679/,YES,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8131163/,KP4,0.46888,0.09095499999999995,0.21744,-0.425125,-2.7342500000000003,0.45143
human_lncrna_fused_67630,human_lncrna_fused_67630,ENSG00000286580,NO,,,,Common essential,-1.3484,0.08668999999999999,-0.171255,-0.367135,-1.334855,-0.903789
human_lncrna_fused_67930,human_lncrna_fused_67930,lnc-DCTD-14,NO,,,,NCIH460,-0.38380499999999995,0.28781500000000004,-0.9111750000000001,-1.35965,-0.33037299999999997,-0.47523000000000004
human_lncrna_fused_68218,human_lncrna_fused_68218,LINC02492,NO,,,,LN18,-1.10965,-0.08580499999999999,-0.408065,-0.7870865,0.16584500000000002,-0.95658
human_lncrna_fused_690,human_lncrna_fused_690,ENSG00000285646,NO,,,,Common essential,-2.7418500000000003,-1.14851,-0.31988545,-0.33669099999999996,-0.621575,-1.040835
human_lncrna_fused_69357,human_lncrna_fused_69357,HSALNG0040793-001,NO,,,,Common essential,-2.6906,-0.17976,-1.0278200000000002,-0.1810795,-3.2920499999999997,-3.9069
human_lncrna_fused_69710,human_lncrna_fused_69710,ENSG00000251257,NO,,,,KP4,-0.10535999999999998,0.07452149999999999,-0.35057,-0.5283150000000001,-0.92559,0.0765145
human_lncrna_fused_69725,human_lncrna_fused_69725,OSMR-AS1,NO,,,,Common essential,-2.97525,-0.403335,-0.83659,-0.13795000000000002,-1.7788,-1.48705
human_lncrna_fused_70045,human_lncrna_fused_70045,HSALNG0041721,NO,,,,Common essential,0.058521,-1.178805,-0.036161,-1.8081,0.30011,-0.47161000000000003
human_lncrna_fused_70229,human_lncrna_fused_70229,ENSG00000249198,NO,,,,MIAPACA2,-0.0752855,0.0918285,-0.31154,-0.686685,-0.459998,-2.4644500000000003
human_lncrna_fused_70245,human_lncrna_fused_70245,HSALNG0042030,NO,,,,MIAPACA2,0.2520565,-0.15335500000000002,0.35860749999999997,-0.048674999999999996,0.306845,-3.7536
human_lncrna_fused_70471,human_lncrna_fused_70471,ENSG00000250978,NO,,,,KP4,0.046995,-0.318865,-0.06967999999999999,-0.08266599999999999,-1.1696,-0.1920135
human_lncrna_fused_70609,human_lncrna_fused_70609,NEW,NO,,,,LN18,-1.1527500000000002,0.42117499999999997,-0.07575999999999998,0.60607,0.36359105,-0.10713999999999999
human_lncrna_fused_70695,human_lncrna_fused_70695,ENSG00000249743,NO,,,,LN229,0.22002699999999997,-1.40525,-0.27732575,-0.526835,0.386908,-0.40732
human_lncrna_fused_71046,human_lncrna_fused_71046,HSALNG0043229,NO,,,,KP4,0.17333500000000002,-0.970175,-0.6441749999999999,-8.450000000000124e-4,-1.38735,-0.09988905
human_lncrna_fused_71148,human_lncrna_fused_71148,ENSG00000250377;LINC00461,YES,https://pubmed.ncbi.nlm.nih.gov/31545458/;https://pubmed.ncbi.nlm.nih.gov/30623482/,YES,https://pubmed.ncbi.nlm.nih.gov/33233986/;https://pubmed.ncbi.nlm.nih.gov/31972361/;https://pubmed.ncbi.nlm.nih.gov/30409700/;https://pubmed.ncbi.nlm.nih.gov/29137410/;https://pubmed.ncbi.nlm.nih.gov/32106756/;https://pubmed.ncbi.nlm.nih.gov/31967713/;https://pubmed.ncbi.nlm.nih.gov/31934717/;https://pubmed.ncbi.nlm.nih.gov/30879766/,LN18,-1.89555,0.0913155,-0.43252,0.0658055,0.36487000000000003,-0.32333
human_lncrna_fused_71234,human_lncrna_fused_71234,ENSG00000248588,NO,,,,KP4,-0.1520225,-0.632625,-0.258205,-0.86646,-2.7604499999999996,-0.28991500000000003
human_lncrna_fused_71239,human_lncrna_fused_71239,ENSG0000025136,NO,,,,Common essential,-2.3357,0.128365,0.314585,-0.26627,-0.32825499999999996,-1.05124
human_lncrna_fused_71248,human_lncrna_fused_71248,NR2F1-AS1,YES,https://pubmed.ncbi.nlm.nih.gov/33822440/;https://pubmed.ncbi.nlm.nih.gov/32392629/;https://pubmed.ncbi.nlm.nih.gov/34475402/;https://pubmed.ncbi.nlm.nih.gov/29602203/,YES,https://pubmed.ncbi.nlm.nih.gov/35283481/;https://pubmed.ncbi.nlm.nih.gov/35083026/;https://pubmed.ncbi.nlm.nih.gov/32548873/;https://pubmed.ncbi.nlm.nih.gov/32407174/;https://pubmed.ncbi.nlm.nih.gov/32329844/;https://pubmed.ncbi.nlm.nih.gov/31692033/;https://pubmed.ncbi.nlm.nih.gov/31304680/;https://pubmed.ncbi.nlm.nih.gov/35082283/;https://pubmed.ncbi.nlm.nih.gov/33378023/;https://pubmed.ncbi.nlm.nih.gov/31109400/;https://pubmed.ncbi.nlm.nih.gov/32945459/,Common essential,-2.6709500000000004,-0.839635,0.01187935,-0.27663,-3.39295,-1.5211700000000001
