Functionality	H3F3A	H3K20me1	H3K23ac	H3K27ac	H3K36me3	H3K4me1	H3K4me3	H3K79me1	 H3K79me2	H3K9ac	H3K9me3	H4K4me2
Yes	0	0	0	37.1234	0	30.9479	0	0	14.0887	0	0	0
Yes	0	0	0	37.1234	0	30.9479	0	0	14.0887	0	0	0
No	0	0	0	50.1901	0	120.824	25.8191	0	0	0	6.84958	22.2718
No	0	0	0	50.1901	0	120.824	25.8191	0	0	0	6.84958	22.2718
Yes	0	0	0	0	0	12.3424	2.95212	0	0	0	0	0
Yes	13.566	0	0	1898.12	3187.99	997.418	632.306	0	16.4975	46.813	0	40.3921
Yes	13.566	0	0	1898.12	3187.99	997.418	632.306	0	16.4975	46.813	0	40.3921
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	3.40425	0	0	0	0	0	0	0	0
Yes	0	0	0	26.4587	0.471173	13.1827	6.30017	0	0	0	0	0
No	0	0	0	10.2887	0	10.4815	0	0	0	5.08641	0	0
No	0	0	0	671.842	0	37.4676	0	0	4.89292	8.74766	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	7.5855	2.02908	38.3512	0	0	0	0	0	0
No	0	0	0	7.5855	2.02908	38.3512	0	0	0	0	0	0
Yes	60.4718	277.116	11.9258	13938.7	1367.2	2354.18	75518.9	17.4053	1276.79	6736.31	12.5422	2819.86
Yes	60.4718	277.116	11.9258	13938.7	1367.2	2354.18	75518.9	17.4053	1276.79	6736.31	12.5422	2819.86
No	13.395	0	1.26751	3519.44	123.922	5851.31	1834.53	0	0	250.482	0	783.912
No	13.395	0	1.26751	3519.44	123.922	5851.31	1834.53	0	0	250.482	0	783.912
Yes	0	0	0	2.2994	0	14.018	0	0	0	0	8.53757	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	5.13575	0	0	0	0	0	0	7.42487	0
No	0.543287	0	2.91351	231.882	14.3262	526.326	31.5244	0	0	31.4414	97.9944	137.645
No	0	0	0	0	2.61557	0	0	0	0	0	30.8178	0
No	0	0	0	5.74913	0	0	0	0	0	0	37.6485	0
No	0	0	0	0	27.9229	0	0	0	0	0	343.233	0
Yes	0	2.61044	0	6.12429	0	0	0	0	0	0	6.54656	0
Yes	0	3.09606	0	572.112	0	111.745	2.94748	0	22.4595	6.0445	0	3.12827
No	0	0	0	0	1.71682	1.89071	0	0	0	0	13.2333	0
No	0	0	0	2.78837	2.5448	12.836	0	0	3.87106	0	31.3063	0
Yes	3.14962	0	0	0	2.83546	0	0	0	0	0	0	6.35878
No	0	0	0	10.0799	0	5.26709	0	0	0	0	14.405	0
No	0	3.20598	0	0.965314	0	6.32473	1.70469	0	0	0	0	0
No	0	0	0	9.9885	130.648	13.0601	0	0	0	0	17.1369	0
No	0	0	0	0	0	1.05999	0	0	0	0	0	0
No	0	0	0	34.465	7.70823	42.3429	0	0	0	0	666.587	0
No	0	0	0	34.465	7.70823	42.3429	0	0	0	0	666.587	0
No	0	0	0	34.465	7.70823	42.3429	0	0	0	0	666.587	0
No	0	0	0	0	0	0	8.96973	0	0	0	4.18086	0
No	0.26335	0	0	26.6163	0	73.6345	0	0	0	0	0	14.5352
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	402.298	0	769.105	0	0	0	0	136.817	177.641
No	0	0	0	0	0	0	0	0	0	0	40.9182	0
No	0	0	0	469.928	0	207.256	2.38853	0	0	5.7333	0	4.3474
No	0	0	0	469.928	0	207.256	2.38853	0	0	5.7333	0	4.3474
Yes	0	0	0	55.6351	1.76508	18.716	3.26443	0	0	0	250.863	0
Yes	0	0	0	55.6351	1.76508	18.716	3.26443	0	0	0	250.863	0
No	0	0	0	726.123	118.14	1235.66	24.6405	0	0	28.3922	22.591	392.656
No	0	0	0	726.123	118.14	1235.66	24.6405	0	0	28.3922	22.591	392.656
No	0	9.49828	0	0	0	0	0	0	0	0	143.893	0
No	0	9.49828	0	0	0	0	0	0	0	0	143.893	0
No	0	9.49828	0	0	0	0	0	0	0	0	143.893	0
No	0	0	0	0	0	0	0	0	0	0	0	0
No	0	0	0	0	0	0	0	0	0	0	10.002	0
No	7.88805	0	0	8.77342	0	5.2285	0	0	0	0	0	0
No	7.88805	0	0	8.77342	0	5.2285	0	0	0	0	0	0
No	7.88805	0	0	8.77342	0	5.2285	0	0	0	0	0	0
No	27.9849	0	0	48542.6	1085.66	3354.74	104230	0	196.609	7486.91	18.8027	3488.06
No	27.9849	0	0	48542.6	1085.66	3354.74	104230	0	196.609	7486.91	18.8027	3488.06
No	27.9849	0	0	48542.6	1085.66	3354.74	104230	0	196.609	7486.91	18.8027	3488.06
Yes	157.415	201.959	22.6847	52801.2	4561.44	2026.21	108721	21.545	1359.59	10569.3	50.3455	3968.64
Yes	157.415	201.959	22.6847	52801.2	4561.44	2026.21	108721	21.545	1359.59	10569.3	50.3455	3968.64
Yes	157.415	201.959	22.6847	52801.2	4561.44	2026.21	108721	21.545	1359.59	10569.3	50.3455	3968.64
No	0	0	0	0	0	6.87282	0	0	0	0	0	0
No	0	0	0	0	0	6.87282	0	0	0	0	0	0
No	0	0	0	0	0	6.87282	0	0	0	0	0	0
No	0	5.44845	0	647.613	0	208.602	0	0	0	2.9274	0	32.0482
No	0	0	0	24.595	0	15.4582	0	0	0	0	0	0
No	0	0	0	24.595	0	15.4582	0	0	0	0	0	0
No	0	0	0	81.4939	16.317	38.8131	34.0536	0	0	19.2563	0	0
No	0	0	0	81.4939	16.317	38.8131	34.0536	0	0	19.2563	0	0
No	0	0	0	81.4939	16.317	38.8131	34.0536	0	0	19.2563	0	0
Yes	19.953	316.014	0	47.2511	3247.53	87.5632	6.16954	0	267.857	0	0	0
Yes	0	0	0	0	0	0	0	0	13.5272	0	0	10.0006
Yes	0	0	0	0	0	0	0	0	13.5272	0	0	10.0006
